stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
10000930,,"Grænatunga",,64.1082428971891,-21.8949856142625,,,0,,,,
10000931,,"Hrauntunga",,64.1086400526015,-21.8904403899256,,,0,,,,
10000932,,"Brekkuhjalli",,64.1075388010915,-21.8795335956611,,,0,,,,
10000933,,"Bakkahjalli",,64.1073332858159,-21.8740787033099,,,0,,,,
10000936,,"Engihjalli",,64.1097074496591,-21.860406318069,,,0,,,,
10000937,,"Sæból",,64.1147151489743,-21.9035922496775,,,0,,,,
10000938,,"Huldubraut",,64.114436747609,-21.915096355604,,,0,,,,
10000939,,"Holtagerði",,64.1138108977218,-21.9233745698796,,,0,,,,
10000940,,"Vesturvör",,64.1137321861171,-21.9293682771579,,,0,,,,
10000941,,"Hafnarbraut",,64.1110764334112,-21.9356735893651,,,0,,,,
10000942,,"Kópavör",,64.1092386222099,-21.931263789341,,,0,,,,
10000943,,"Kársnesskóli",,64.1091270432019,-21.9242167724833,,,0,,,,
10000944,,"Kópavogslaug",,64.1090471314352,-21.9172420900144,,,0,,,,
10000945,,"Álfkonuhvarf",,64.090774,-21.807935,,,0,,,,
10000946,,"Álfhóll",,64.111428,-21.872992,,,0,,,,
10000948,,"Lundur",,64.114587,-21.89492,,,0,,,,
10000949,,"Lundur",,64.1148053730673,-21.8950634999233,,,0,,,,
10000950,,"Vallakór",,64.0847611525669,-21.8202757765777,,,0,,,,
10000951,,"Boðaþing",,64.082119,-21.817871,,,0,,,,
10000953,,"Víkurhvarf",,64.0927826838478,-21.8094080550478,,,0,,,,
10000954,,"Ögurhvarf",,64.096425,-21.805488,,,0,,,,
10000955,,"Ögurhvarf",,64.09653,-21.80577,,,0,,,,
10000956,,"Víkurhvarf",,64.093697,-21.808651,,,0,,,,
10000957,,"Dalaþing",,64.08076,-21.813769,,,0,,,,
10000961,,"Álfhóll",,64.1113109279616,-21.8712193283921,,,0,,,,
10000962,,"Hjalli",,64.1111001509471,-21.865524664794,,,0,,,,
10000963,,"Sunnuhlíð",,64.1089980214091,-21.9095188983322,,,0,,,,
10000964,,"Lindakirkja",,64.0943230244082,-21.8617431163278,,,0,,,,
10000965,,"Lindakirkja",,64.0944757904809,-21.8616214526045,,,0,,,,
10000966,,"Salaskóli",,64.0896855104562,-21.8549341473963,,,0,,,,
10000967,,"Salaskóli",,64.0898393254196,-21.8547591189958,,,0,,,,
10000968,,"Rjúpnasalir",,64.0901261552729,-21.8436348169245,,,0,,,,
10000969,,"Kórsalir",,64.0922066046754,-21.8463327277251,,,0,,,,
10000970,,"Fensalir",,64.0939306587926,-21.8531851724621,,,0,,,,
10000972,,"Hamraborg A",,64.11163551673948,-21.90853313721961,,,0,10000802,,,
10000973,,"Hamraborg B",,64.1116582999983,-21.9083168609403,,,0,10000802,,,
10000974,,"Hamraborg C",,64.1109216936285,-21.9079469775923,,,0,10000802,,,
10000975,,"Hamraborg D",,64.11116069953647,-21.907223181794038,,,0,10000802,,,
11000100,,"Grænamýri",,64.146191,-21.977659,,,0,,,,
11000101,,"Skerjabraut",,64.148336,-21.98321,,,0,,,,
11000102,,"Eiðistorg",,64.150701,-21.987077,,,0,,,,
11000103,,"Gróttuvöllur",,64.149749,-21.994053,,,0,,,,
11000104,,"Bakkavör",,64.151323,-22.002626,,,0,,,,
11000105,,"Miðbraut",,64.153259,-22.004812,,,0,,,,
11000106,,"Hæðarbraut",,64.155473,-22.003511,,,0,,,,
11000107,,"Hofgarðar",,64.15764,-22.001297,,,0,,,,
11000108,,"Vesturströnd",,64.157636,-21.99257,,,0,,,,
11000109,,"Fornaströnd",,64.154798,-21.986627,,,0,,,,
11000110,,"Austurströnd",,64.152592,-21.985947,,,0,,,,
11000111,,"Eiðistorg",,64.150387,-21.9861,,,0,,,,
11000112,,"Skerjabraut",,64.148036,-21.982981,,,0,,,,
11000113,,"Grænamýri",,64.146087,-21.977692,,,0,,,,
11000147,,"Barðaströnd",,64.156782,-21.988204,,,0,,,,
13001201,,"Arnarneshæð",,64.099867,-21.916849,,,0,,,,
13001202,,"Akrar",,64.099335,-21.913226,,,0,,,,
13001204,,"Akrar",,64.099529,-21.912902,,,0,,,,
13001206,,"Sjávargrund",,64.091965,-21.929768,,,0,,,,
13001207,,"Arnarnesvegur",,64.098383,-21.903811,,,0,,,,
13001208,,"Reynilundur",,64.085651,-21.909578,,,0,,,,
13001209,,"Reynilundur",,64.0858,-21.909279,,,0,,,,
13001210,,"Hæðarbyggð",,64.088235,-21.907285,,,0,,,,
13001211,,"Búðir",,64.089627,-21.904301,,,0,,,,
13001212,,"Hæðarbyggð",,64.088219,-21.907533,,,0,,,,
13001218,,"Vídalínskirkja",,64.086775,-21.916422,,,0,,,,
13001219,,"Garðatorg",,64.087861209459,-21.92007600127,,,0,,,,
13001222,,"FG",,64.092528,-21.902847,,,0,,,,
13001223,,"Blómahæð",,64.096422,-21.902784,,,0,,,,
13001224,,"Búðir",,64.08958,-21.904583,,,0,,,,
13001225,,"Blómahæð",,64.09602,-21.90212,,,0,,,,
13001226,,"FG",,64.092585,-21.903221,,,0,,,,
13001233,,"Garðahraun",,64.077515,-21.929596,,,0,,,,
13001234,,"Línakur",,64.0979809046859,-21.9071613098249,,,0,,,,
13001300,,"Ásgarður A",,64.089679,-21.929797,,,0,,,,
13001301,,"Arnarás",,64.09075,-21.942956,,,0,,,,
13001302,,"Birkiás",,64.088076,-21.940529,,,0,,,,
13001303,,"Brekkuás",,64.086973,-21.942166,,,0,,,,
13001304,,"Hraunsholtsbraut",,64.085691,-21.950248,,,0,,,,
13001305,,"Herjólfsbraut",,64.084713,-21.966145,,,0,,,,
13001306,,"Garðaholtsvegur",,64.089246,-21.982334,,,0,,,,
13001322,,"Gálgahraun",,64.084827,-21.958036,,,0,,,,
13001323,,"Gálgahraun",,64.084719,-21.957896,,,0,,,,
13001328,,"Garðaholtsvegur",,64.088769,-21.981235,,,0,,,,
